ラウンジ商品名,型番,ラウンジ価格,ページ,レアリティ判定,正規化名,ベース名,型番候補,ラウンジraw
藍眼白龍,,6500000,1,,藍眼白龍,藍眼白龍,,"藍眼白龍 型番: - レアリティ/種別: - / PSA10 買取価格: ¥6,500,000"
Blue eyes White Dragon,,6500000,1,,BLUEEYESWHITEDRAGON,BLUEEYESWHITEDRAGON,,"Blue eyes White Dragon 型番: - レアリティ/種別: - / PSA10 買取価格: ¥6,500,000"
ホーリーナイトドラゴン(初期),,3200000,1,,ホリナイトドラゴン初期,ホリナイトドラゴン,,"ホーリーナイトドラゴン(初期) 型番: - レアリティ/種別: - / PSA10 買取価格: ¥3,200,000"
究極完全態グレートモス(初期シークレット),,2700000,1,SE,究極完全態グレトモス初期シクレット,究極完全態グレトモス,,"究極完全態グレートモス(初期シークレット) 型番: - レアリティ/種別: - / PSA10 買取価格: ¥2,700,000"
青眼の白龍(初期),,2500000,1,,青眼の白龍初期,青眼の白龍,,"青眼の白龍(初期) 型番: - レアリティ/種別: - / PSA10 買取価格: ¥2,500,000"
真紅眼の黒竜(初期),,1650000,1,,真紅眼の黒竜初期,真紅眼の黒竜,,"真紅眼の黒竜(初期) 型番: - レアリティ/種別: - / PSA10 買取価格: ¥1,650,000"
青眼の亜白龍(シークレット/Discord公式サーバー登録キャンペーン),JP003,184000,1,SE,青眼の亜白龍シクレットDISCORD公式サバ登録キャンペン,青眼の亜白龍,JP003,"青眼の亜白龍(シークレット/Discord公式サーバー登録キャンペーン) 型番: JP003 レアリティ/種別: - / PSA10 買取価格: ¥184,000"
青眼の白龍(25th/サイドプライド),JP001,90000,1,QCSE,青眼の白龍25THサイドプライド,青眼の白龍,JP001,"青眼の白龍(25th/サイドプライド) 型番: JP001 レアリティ/種別: - / PSA10 買取価格: ¥90,000"
青眼の白龍(レリーフ/QCCP),QCCP-JP001,46900,1,RELIEF,青眼の白龍レリフQCCP,青眼の白龍,QCCP-JP001,"青眼の白龍(レリーフ/QCCP) 型番: QCCP-JP001 レアリティ/種別: - / PSA10 買取価格: ¥46,900"
青眼の白龍,TD02-JP001,113000,1,,青眼の白龍,青眼の白龍,TD02-JP001,"青眼の白龍 型番: TD02-JP001 レアリティ/種別: - / PSA10 買取価格: ¥113,000"
ブラックマジシャン(初期),,630000,1,,ブラックマジシャン初期,ブラックマジシャン,,"ブラックマジシャン(初期) 型番: - レアリティ/種別: - / PSA10 買取価格: ¥630,000"
ブラックマジシャン(ウルトラ/直立腕前),JP001,96500,1,UR,ブラックマジシャンウルトラ直立腕前,ブラックマジシャン,JP001,"ブラックマジシャン(ウルトラ/直立腕前) 型番: JP001 レアリティ/種別: - / PSA10 買取価格: ¥96,500"
ブラックマジシャンガール(ウルトラ/杖担ぎ),JP003,26300,1,UR,ブラックマジシャンガルウルトラ杖担ぎ,ブラックマジシャンガル,JP003,"ブラックマジシャンガール(ウルトラ/杖担ぎ) 型番: JP003 レアリティ/種別: - / PSA10 買取価格: ¥26,300"
ブラックマジシャンガール,DMMD-JP001,221000,1,,ブラックマジシャンガル,ブラックマジシャンガル,DMMD-JP001,"ブラックマジシャンガール 型番: DMMD-JP001 レアリティ/種別: - / PSA10 買取価格: ¥221,000"
ブラックマジシャンガール,WPP4-JP066,71500,1,,ブラックマジシャンガル,ブラックマジシャンガル,WPP4-JP066,"ブラックマジシャンガール 型番: WPP4-JP066 レアリティ/種別: - / PSA10 買取価格: ¥71,500"
EHEROフレイムウィングマン(旧アジア版/英語表記),TLM-AE035,782000,1,,EHEROフレイムウィングマン旧アジア版英語表記,EHEROフレイムウィングマン,TLM-AE035,"EHEROフレイムウィングマン(旧アジア版/英語表記) 型番: TLM-AE035 レアリティ/種別: - / PSA10 買取価格: ¥782,000"
サイバードラゴン(旧アジア版/英語表記),CRV-AE015,671600,1,,サイバドラゴン旧アジア版英語表記,サイバドラゴン,CRV-AE015,"サイバードラゴン(旧アジア版/英語表記) 型番: CRV-AE015 レアリティ/種別: - / PSA10 買取価格: ¥671,600"
古代の機械巨人 (旧アジア版/英語表記),TLM-AE006,625600,1,,古代の機械巨人旧アジア版英語表記,古代の機械巨人,TLM-AE006,"古代の機械巨人 (旧アジア版/英語表記) 型番: TLM-AE006 レアリティ/種別: - / PSA10 買取価格: ¥625,600"
E・HEROシャイニングフェニックスガイ (旧アジア版/英語表記),EOJ-AE033,625600,1,,EHEROシャイニングフェニックスガイ旧アジア版英語表記,EHEROシャイニングフェニックスガイ,EOJ-AE033,"E・HEROシャイニングフェニックスガイ (旧アジア版/英語表記) 型番: EOJ-AE033 レアリティ/種別: - / PSA10 買取価格: ¥625,600"
ネフティスの鳳凰神 (旧アジア版/英語表記),FET-AE005,598000,1,,ネフティスの鳳凰神旧アジア版英語表記,ネフティスの鳳凰神,FET-AE005,"ネフティスの鳳凰神 (旧アジア版/英語表記) 型番: FET-AE005 レアリティ/種別: - / PSA10 買取価格: ¥598,000"
サイバーエンドドラゴン(旧アジア版/英語表記),CRV-AE036,570400,1,,サイバエンドドラゴン旧アジア版英語表記,サイバエンドドラゴン,CRV-AE036,"サイバーエンドドラゴン(旧アジア版/英語表記) 型番: CRV-AE036 レアリティ/種別: - / PSA10 買取価格: ¥570,400"
魔法の国の王女クラン (旧アジア版/英語表記),SOI-AE028,395600,1,,魔法の国の王女クラン旧アジア版英語表記,魔法の国の王女クラン,SOI-AE028,"魔法の国の王女クラン (旧アジア版/英語表記) 型番: SOI-AE028 レアリティ/種別: - / PSA10 買取価格: ¥395,600"
EHEROバブルマン(旧アジア版/英語表記),CRV-AE014,368000,1,,EHEROバブルマン旧アジア版英語表記,EHEROバブルマン,CRV-AE014,"EHEROバブルマン(旧アジア版/英語表記) 型番: CRV-AE014 レアリティ/種別: - / PSA10 買取価格: ¥368,000"
DHEROダイヤモンドガイ(旧アジア版/英語表記),EOJ-AE003,368000,1,,DHEROダイヤモンドガイ旧アジア版英語表記,DHEROダイヤモンドガイ,EOJ-AE003,"DHEROダイヤモンドガイ(旧アジア版/英語表記) 型番: EOJ-AE003 レアリティ/種別: - / PSA10 買取価格: ¥368,000"
アームドドラゴンLV7(旧アジア版/英語表記),SOD-AE015,358800,1,,アムドドラゴンLV7旧アジア版英語表記,アムドドラゴンLV7,SOD-AE015,"アームドドラゴンLV7(旧アジア版/英語表記) 型番: SOD-AE015 レアリティ/種別: - / PSA10 買取価格: ¥358,800"
EHEROテンペスター(旧アジア版/英語表記),EEN-AE034,349600,1,,EHEROテンペスタ旧アジア版英語表記,EHEROテンペスタ,EEN-AE034,"EHEROテンペスター(旧アジア版/英語表記) 型番: EEN-AE034 レアリティ/種別: - / PSA10 買取価格: ¥349,600"
クィーンズナイト(旧アジア版/英語表記),EEN-AE004,349600,1,,クィンズナイト旧アジア版英語表記,クィンズナイト,EEN-AE004,"クィーンズナイト(旧アジア版/英語表記) 型番: EEN-AE004 レアリティ/種別: - / PSA10 買取価格: ¥349,600"
E・HEROフェニックスガイ (旧アジア版/英語表記),EOJ-AE032,322000,1,,EHEROフェニックスガイ旧アジア版英語表記,EHEROフェニックスガイ,EOJ-AE032,"E・HEROフェニックスガイ (旧アジア版/英語表記) 型番: EOJ-AE032 レアリティ/種別: - / PSA10 買取価格: ¥322,000"
ミラクルフュージョン(旧アジア版/英語表記),CRV-AE039,322000,1,,ミラクルフュジョン旧アジア版英語表記,ミラクルフュジョン,CRV-AE039,"ミラクルフュージョン(旧アジア版/英語表記) 型番: CRV-AE039 レアリティ/種別: - / PSA10 買取価格: ¥322,000"
サイバーツインドラゴン(旧アジア版/英語表記),CRV-AE035,303600,1,,サイバツインドラゴン旧アジア版英語表記,サイバツインドラゴン,CRV-AE035,"サイバーツインドラゴン(旧アジア版/英語表記) 型番: CRV-AE035 レアリティ/種別: - / PSA10 買取価格: ¥303,600"
ジャックスナイト(旧アジア版/英語表記),EEN-AE005,276000,1,,ジャックスナイト旧アジア版英語表記,ジャックスナイト,EEN-AE005,"ジャックスナイト(旧アジア版/英語表記) 型番: EEN-AE005 レアリティ/種別: - / PSA10 買取価格: ¥276,000"
破滅の女神ルイン(旧アジア版/英語表記),SOI-AE034,276000,1,,破滅の女神ルイン旧アジア版英語表記,破滅の女神ルイン,SOI-AE034,"破滅の女神ルイン(旧アジア版/英語表記) 型番: SOI-AE034 レアリティ/種別: - / PSA10 買取価格: ¥276,000"
