Excel行,Excel名(C),Excelレアリティ(G),Excel型番(F),正規化名,正規化レアリティ,型番候補,理由
18,【PSA10】竜騎士ブラック・マジシャン・ガール,クォーターセンチュリーシークレット,QCAC-JP020,竜騎士ブラックマジシャンガル,クォ-タ-センチュリ-シ-クレット,QCAC-JP020,no match
19,【PSA10】竜騎士ブラック・マジシャン・ガール,クォーターセンチュリーシークレット,QCAC-JP020,竜騎士ブラックマジシャンガル,クォ-タ-センチュリ-シ-クレット,QCAC-JP020,no match
28,【PSA10】閃刀姫－レイ,クォーターセンチュリーシークレット,QCAC-JP008,閃刀姫レイ,クォ-タ-センチュリ-シ-クレット,QCAC-JP008,no match
63,【PSA10】朔夜しぐれ（イラスト違い）,プリズマティックシークレット,PAC1-JP035,朔夜しぐれ(イラスト違い),プリズマティックシ-クレット,PAC1-JP035,no match
90,【PSA10】青眼の白龍,ホログラフィック,TRC1-JP000,青眼の白龍,HOLOGRAPHIC,TRC1-JP000,no match
126,【PSA10】(レリーフ)サイバー・レーザー・ドラゴン,アルティメット,SOI-JP007,サイバレザドラゴン,ULTIMATE,SOI-JP007,no match
127,【PSA10】(レリーフ)サイバー・バリア・ドラゴン,アルティメット,SOI-JP006,サイババリアドラゴン,ULTIMATE,SOI-JP006,no match
156,【PSA10】(レリーフ)カオス・ソルジャー,アルティメット,304-054,カオスソルジャ,ULTIMATE,304-054,no match
246,【PSA10】オシリスの天空竜(ステンレス),,,オシリスの天空竜(ステンレス),,,no code and name not unique
247,【PSA10】オベリスクの巨神兵(ステンレス),,,オベリスクの巨神兵(ステンレス),,,no code and name not unique
248,【PSA10】ラーの翼神竜(ステンレス),,,ラの翼神竜(ステンレス),,,no code and name not unique
252,【PSA10】藍眼白龍,ウルトラレア,,藍眼白龍,ULTRA,,no code and name not unique
253,【PSA10】Blue eyes・White・Dragon,ウルトラレア,,BLUEEYESWHITEDRAGON,ULTRA,,no code and name not unique
254,【PSA10】青眼の白龍(初期),ウルトラレア,,青眼の白龍(初期),ULTRA,,no code and name not unique
255,【PSA10】真紅眼の黒竜(初期),ウルトラレア,,真紅眼の黒竜(初期),ULTRA,,no code and name not unique
256,【PSA10】ブラック・マジシャン(初期),ウルトラレア,,ブラックマジシャン(初期),ULTRA,,no code and name not unique
