Excel行,Excel名(C),Excel補助(G),Excel型番(F),旧O列,ラウンジ元価格,5%カット後,最終O列,ラウンジ名,ラウンジ型番,照合方法
6,【PSA10】カオス・ソルジャー －開闢の使者－,クォーターセンチュリーシークレット,25DS-JP002,13000,15000,13800,13000,カオスソルジャー －開闢の使者－,25DS-JP002(QCSE),- / PSA10,name+code
7,【PSA10】究極完全態・グレート・モス,クォーターセンチュリーシークレット,EDC1-JP001,17000,18800,17296,17000,究極完全態グレートモス,EDC1-JP001,- / PSA10,name+code
8,【PSA10】超魔導竜騎士－ドラグーン・オブ・レッドアイズ,クォーターセンチュリーシークレット,QCAC-JP084,8000,9400,8648,8000,超魔導竜騎士ドラグーンオブレッドアイズ,QCAC-JP084(QCSE),- / PSA10,name+code
9,【PSA10】IPマスカレーナ(25th/バイク),クォーターセンチュリーシークレット,QCAC-JP069,17000,18800,17296,17000,IPマスカレーナ(25th/バイク),QCAC-JP069,QCSE,name+code+rarity
10,【PSA10】閃刀起動－エンゲージ（イラスト違い）,クォーターセンチュリーシークレット,QCAC-JP061,8000,9400,8648,8000,閃刀起動エンゲージ(25th/ロゼ),QCAC-JP061,QCSE,code_single
11,【PSA10】閃刀姫－シズク（イラスト違い）,クォーターセンチュリーシークレット,QCAC-JP060,9000,10300,9476,9000,閃刀姫シズク,QCAC-JP060(QCSE),- / PSA10,code_single
12,【PSA10】灰流うらら(RC03絵柄),クォーターセンチュリーシークレット,QCAC-JP050,23000,25300,23276,23000,灰流うらら(RC03絵柄),QCAC-JP050(QCSE),- / PSA10,name+code
13,【PSA10】真紅眼の黒竜(4左下向/オーラ)(25th),クォーターセンチュリーシークレット,JP022,25000,28200,25944,25000,真紅眼の黒竜(4左下向/オーラ)(25th),JP022,QCSE,name+code+rarity
14,【PSA10】真紅眼の黒竜(25th/赤背景),クォーターセンチュリーシークレット,QCAC-JP022,12000,14100,12972,12000,真紅眼の黒竜(25th/赤背景),QCAC-JP022,QCSE,name+code+rarity
15,【PSA10】青眼の白龍(爆発背景),クォーターセンチュリーシークレット,QCAC-JP021,38000,42200,38824,38000,青眼の白龍(爆発背景),QCAC-JP021,- / PSA10,name+code
16,【PSA10】青眼の白龍(25th/原作初登場シーン),クォーターセンチュリーシークレット,QCAC-JP021,12000,14100,12972,12000,青眼の白龍(25th/原作初登場シーン),QCAC-JP021,QCSE,name+code+rarity
17,【PSA10】青眼の白龍(EX絵柄),クォーターセンチュリーシークレット,QCAC-JP021,21000,23300,21436,21000,青眼の白龍(EX絵柄),QCAC-JP021(QCSE),- / PSA10,name+code
20,【PSA10】ブラックマジシャンガール(2立ち/杖担ぎ)(25th),クォーターセンチュリーシークレット,QCAC-JP019,33000,36600,33672,33000,ブラックマジシャンガール(2立ち/杖担ぎ)(25th),QCAC-JP019,QCSE,name+code+rarity
21,【PSA10】ブラックマジシャン(右向き/杖持ち),クォーターセンチュリーシークレット,QCAC-JP018,21000,23500,21620,21000,ブラックマジシャン(右向き/杖持ち),QCAC-JP018,- / PSA10,name+code
22,【PSA10】ブラックマジシャン(25th/直立腕前),クォーターセンチュリーシークレット,QCAC-JP018,12000,14100,12972,12000,ブラックマジシャン(25th/直立腕前),QCAC-JP018,QCSE,name+code+rarity
23,【PSA10】ブラックマジシャン(EX絵柄),クォーターセンチュリーシークレット,QCAC-JP018,10000,11300,10396,10000,ブラックマジシャン(EX絵柄),QCAC-JP018(QCSE),- / PSA10,name+code
24,【PSA10】ライトニング・ストーム,クォーターセンチュリーシークレット,QCAC-JP017,7000,8000,7360,7000,ライトニングストーム(新規イラスト),QCAC-JP017(QCSE),- / PSA10,code_single
25,【PSA10】黒魔女ディアベルスター,クォーターセンチュリーシークレット,QCAC-JP012,13000,15000,13800,13000,[新]黒魔女ディアベルスター(三角帽子)(25th),QCAC-JP012,QCSE,code_single
26,【PSA10】迷宮城の白銀姫（イラスト違い）,クォーターセンチュリーシークレット,QCAC-JP011,31000,34700,31924,31000,迷宮城の白銀姫(25th/5人),QCAC-JP011,QCSE,code_single
27,【PSA10】閃刀姫－ハヤテ（イラスト違い）,クォーターセンチュリーシークレット,QCAC-JP009,12000,14100,12972,12000,閃刀姫ハヤテ(25th/剣),QCAC-JP009,QCSE,code_single
29,【PSA10】ブルーアイズ・カオス・MAX・ドラゴン,クォーターセンチュリーシークレット,QCAC-JP001,7000,8000,7360,7000,ブルーアイズカオスMAXドラゴン(新規イラスト),QCAC-JP001(QCSE),- / PSA10,code_single
30,【PSA10】Live☆Twin リィラ・スウィート,クォーターセンチュリーシークレット,ALIN-JP028,10000,10900,10028,10000,LiveTwinリィラスウィート,ALIN-JP028(QCSE),- / PSA10,name+code
31,【PSA10】魔術師の弟子－ブラック・マジシャン・ガール,クォーターセンチュリーシークレット,ALIN-JP004,67000,73000,67160,67000,魔術師の弟子ブラックマジシャンガール,ALIN-JP004,- / PSA10,name+code
