商品マスタ用テンプレート,,,,,,,,,,,,,,,,,,,,,
商品マスタID,Mycaアプリ上でのID,商品名,買取名,商品名カナ,カード番号,レアリティ,封入パック,キーワード,JANコード,表示順,ジャンル,カテゴリ,販売店舗価格,買取価格,買取専用,自動印刷,店舗タブレット表示,在庫数無限商品,端数処理を無効にする,商品一覧に表示しない,アップロードエラー
ハンドル名,（この部分は変更しないでください）,,,,,,,,,,,,,,,,,,,,
id,myca_item_id,display_name,buy_display_name,display_name_ruby,cardnumber,rarity,pack_name,keyword,readonly_product_code,order_number,genre_display_name,category_display_name,sell_price,buy_price,is_buy_only,allow_auto_print_label,tablet_allowed,infinite_stock,disallow_round,hidden,upload_error
この下の行からデータ開始,（この下からデータを記入してください）,,,,,,,,,,,,,,,,,,,,
1145665,600565960,【PSA10】カオス・ソルジャー －開闢の使者－,,【PSA10】,25DS-JP002,クォーターセンチュリーシークレット,デュエルセット カオス・ソルジャー－開闢の使者－,25DS-JP002カオスソルジャーカイビャクノシシャ かおすそるじゃーかいびゃくのししゃ カオスソルジャー開闢の使者 a72989439,,0,遊戯王,PSA,0,14000,,https://static.mycalinks.io/app/item/image/YUGI/card/other/25DS-JP002.jpg,,,,,
1145675,600565950,【PSA10】究極完全態・グレート・モス,,,EDC1-JP001,クォーターセンチュリーシークレット,遊戯王 アーリーデイズコレクション 特典,EDC1-JP001キュウキョクカンゼンタイグレートモス きゅうきょくかんぜんたいぐれーともす 究極完全態グレートモス -,,0,遊戯王,PSA,0,17000,,https://static.mycalinks.io/app/item/image/YUGI/card/other/EDC1-JP001.jpg,,,,,
1145796,600565705,【PSA10】超魔導竜騎士－ドラグーン・オブ・レッドアイズ,,,QCAC-JP084,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP084ちょうまどうりゅうきしドラグーンオブレッドアイズ ちょうまどうりゅうきしどらぐーんおぶれっどあいず 超魔導竜騎士ドラグーンオブレッドアイズ a37818794,,0,遊戯王,PSA,0,8000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP084c.jpg,,,,,
1146274,600565435,【PSA10】IPマスカレーナ(25th/バイク),,,QCAC-JP069,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP069アイピーマスカレーナ あいぴーますかれーな IPマスカレーナ a65741786,,0,遊戯王,PSA,0,17000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP069d.jpg,,,,,
1146383,600565245,【PSA10】閃刀起動－エンゲージ（イラスト違い）,,,QCAC-JP061,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP061せんとうきどうエンゲージ せんとうきどうえんげーじ 閃刀起動エンゲージ a63166095,,0,遊戯王,PSA,0,8000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP061e.jpg,,,,,
1146399,600565220,【PSA10】閃刀姫－シズク（イラスト違い）,,,QCAC-JP060,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP060せんとうきシズク せんとうきしずく 閃刀姫シズク a90673288,,0,遊戯王,PSA,0,9000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP060e.jpg,,,,,
1146950,600564975,【PSA10】灰流うらら(RC03絵柄),,,QCAC-JP050,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP050ハルウララ はるうらら 灰流うらら a14558127,,0,遊戯王,PSA,0,24000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP050d.jpg,,,,,
1147540,600564295,【PSA10】真紅眼の黒竜(4左下向/オーラ)(25th),,,JP022,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP022レッドアイズブラックドラゴン れっどあいずぶらっくどらごん 真紅眼の黒竜 a74677422,,0,遊戯王,PSA,0,26000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP022h.jpg,,,,,
1147544,600564290,【PSA10】真紅眼の黒竜(25th/赤背景),,,QCAC-JP022,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP022レッドアイズブラックドラゴン れっどあいずぶらっくどらごん 真紅眼の黒竜 a74677422,,0,遊戯王,PSA,0,13000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP022g.jpg,,,,,
1147560,600564255,【PSA10】青眼の白龍(爆発背景),,,QCAC-JP021,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP021ブルーアイズホワイトドラゴン ぶるーあいずほわいとどらごん 青眼の白龍 a89631139,,0,遊戯王,PSA,0,40000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP021j.jpg,,,,,
1147563,600564250,【PSA10】青眼の白龍(25th/原作初登場シーン),,,QCAC-JP021,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP021ブルーアイズホワイトドラゴン ぶるーあいずほわいとどらごん 青眼の白龍 a89631139,,0,遊戯王,PSA,0,13000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP021i.jpg,,,,,
1147567,600564240,【PSA10】青眼の白龍(EX絵柄),,,QCAC-JP021,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP021ブルーアイズホワイトドラゴン ぶるーあいずほわいとどらごん 青眼の白龍 a89631139,,0,遊戯王,PSA,0,22000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP021g.jpg,,,,,
1147584,600564205,【PSA10】竜騎士ブラック・マジシャン・ガール,,,QCAC-JP020,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP020りゅうきしブラックマジシャンガール りゅうきしぶらっくまじしゃんがーる 竜騎士ブラックマジシャンガール a43892408,,0,遊戯王,PSA,0,15000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP020e.jpg,,,,,
1147586,600564200,【PSA10】竜騎士ブラック・マジシャン・ガール,,,QCAC-JP020,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP020りゅうきしブラックマジシャンガール りゅうきしぶらっくまじしゃんがーる 竜騎士ブラックマジシャンガール a43892408,,0,遊戯王,PSA,0,15000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP020d.jpg,,,,,
1147591,600564175,【PSA10】ブラックマジシャンガール(2立ち/杖担ぎ)(25th),,,QCAC-JP019,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP019ブラックマジシャンガール ぶらっくまじしゃんがーる ブラックマジシャンガール a38033121,,0,遊戯王,PSA,0,35000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP019d.jpg,,,,,
1147595,600564155,【PSA10】ブラックマジシャン(右向き/杖持ち),,,QCAC-JP018,クォーターセンチュリーシークレット,QUARTER CENTURY ART COLLECTION,QCAC-JP018ブラックマジシャン ぶらっくまじしゃん ブラックマジシャン a46986414,,0,遊戯王,PSA,0,22000,,https://static.mycalinks.io/app/item/image/YUGI/card/QCAC-JP/QCAC-JP018n.jpg,,,,,
